Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Date,,,,,
11-12-2020,13513.84961,13579.34961,13402.84961,13512.2998,787700
14-12-2020,13558.15039,13597.5,13472.4502,13571.4502,558400
15-12-2020,13567.84961,13589.65039,13447.0498,13547.2002,497600
16-12-2020,13682.7002,13692.34961,13606.4502,13663.09961,462200
17-12-2020,13740.7002,13773.25,13673.5498,13713.5498,416000
18-12-2020,13760.5498,13772.84961,13658.59961,13764.40039,519400
21-12-2020,13328.40039,13777.5,13131.4502,13741.90039,687300
22-12-2020,13466.2998,13492.0498,13192.90039,13373.65039,696200
23-12-2020,13601.09961,13619.4502,13432.2002,13473.5,458700
24-12-2020,13749.25,13771.75,13626.90039,13672.15039,471400
28-12-2020,13873.2002,13885.2998,13811.5498,13815.15039,403600
29-12-2020,13932.59961,13967.59961,13859.90039,13910.34961,439600
30-12-2020,13981.9502,13997,13864.9502,13980.90039,380700
31-12-2020,13981.75,14024.84961,13936.4502,13970,452400
01-01-2021,14018.5,14049.84961,13991.34961,13996.09961,358100
04-01-2021,14132.90039,14147.9502,13953.75,14104.34961,495000
05-01-2021,14199.5,14215.59961,14048.15039,14075.15039,492500
06-01-2021,14146.25,14244.15039,14039.90039,14240.9502,632300
07-01-2021,14137.34961,14256.25,14123.09961,14253.75,559200
08-01-2021,14347.25,14367.2998,14221.65039,14258.40039,613500
11-01-2021,14484.75,14498.2002,14383.09961,14474.0498,672900
12-01-2021,14563.4502,14590.65039,14432.84961,14473.7998,929600
13-01-2021,14564.84961,14653.34961,14435.7002,14639.7998,874000
14-01-2021,14595.59961,14617.7998,14471.5,14550.0498,620200
15-01-2021,14433.7002,14617.4502,14357.84961,14594.34961,789600
18-01-2021,14281.2998,14459.15039,14222.7998,14453.2998,762000
19-01-2021,14521.15039,14546.0498,14350.84961,14371.65039,546100
20-01-2021,14644.7002,14666.4502,14517.5498,14538.2998,623100
21-01-2021,14590.34961,14753.5498,14517.25,14730.9502,704600
22-01-2021,14371.90039,14619.90039,14357.75,14583.40039,776800
25-01-2021,14238.90039,14491.09961,14218.59961,14477.7998,618600
27-01-2021,13967.5,14237.9502,13929.2998,14237.9502,660700
28-01-2021,13817.5498,13898.25,13713.25,13810.40039,637900
29-01-2021,13634.59961,13966.84961,13596.75,13946.59961,753200
01-02-2021,14281.2002,14336.34961,13661.75,13758.59961,870500
02-02-2021,14647.84961,14731.7002,14469.15039,14481.09961,915000
03-02-2021,14789.9502,14868.84961,14574.15039,14754.90039,869500
04-02-2021,14895.65039,14913.7002,14714.75,14789.0498,884700
05-02-2021,14924.25,15014.65039,14864.75,14952.59961,935600
08-02-2021,15115.7998,15159.90039,15041.0498,15064.2998,671200
09-02-2021,15109.2998,15257.09961,15064.2998,15164.15039,713300
10-02-2021,15106.5,15168.25,14977.2002,15119.0498,624800
11-02-2021,15173.2998,15188.5,15065.40039,15073.25,500100
12-02-2021,15163.2998,15243.5,15081,15186.2002,571800
15-02-2021,15314.7002,15340.15039,15243.40039,15270.2998,456000
16-02-2021,15313.4502,15431.75,15242.2002,15371.4502,648500
17-02-2021,15208.90039,15314.2998,15170.75,15279.90039,504800
18-02-2021,15118.9502,15250.75,15078.0498,15238.7002,770600
19-02-2021,14981.75,15144.0498,14898.2002,15074.7998,712200
22-02-2021,14675.7002,15010.09961,14635.0498,14999.0498,609900
23-02-2021,14707.7998,14854.5,14651.84961,14782.25,744100
24-02-2021,14982,15008.7998,14504.5,14729.15039,403800
25-02-2021,15097.34961,15176.5,15065.34961,15079.84961,803900
26-02-2021,14529.15039,14919.4502,14467.75,14888.59961,1103600
01-03-2021,14761.5498,14806.7998,14638.5498,14702.5,507300
02-03-2021,14919.09961,14959.09961,14760.7998,14865.2998,621700
03-03-2021,15245.59961,15273.15039,14995.7998,15064.40039,544200
04-03-2021,15080.75,15202.34961,14980.2002,15026.75,534900
05-03-2021,14938.09961,15092.34961,14862.09961,14977.9502,640700
08-03-2021,14956.2002,15111.15039,14919.90039,15002.4502,0
09-03-2021,15098.40039,15126.84961,14925.4502,15049.90039,675300
10-03-2021,15174.7998,15218.4502,15100.84961,15202.15039,404600
12-03-2021,15030.9502,15336.2998,14953.59961,15321.15039,493200
15-03-2021,14929.5,15048.40039,14745.84961,15048.40039,467500
16-03-2021,14910.4502,15051.59961,14890.65039,14996.09961,100
17-03-2021,14721.2998,14956.5498,14696.0498,14946.5498,100
18-03-2021,14557.84961,14875.2002,14478.59961,14855.5,542200
19-03-2021,14744,14788.25,14350.09961,14471.15039,919200
22-03-2021,14736.40039,14763.90039,14597.84961,14736.2998,459000
23-03-2021,14814.75,14878.59961,14707,14768.5498,474200
24-03-2021,14549.40039,14752.34961,14535,14712.4502,456400
25-03-2021,14324.90039,14575.59961,14264.40039,14570.90039,606800
26-03-2021,14507.2998,14572.90039,14414.25,14506.2998,481000
30-03-2021,14845.09961,14876.2998,14617.59961,14628.5,594500
31-03-2021,14690.7002,14813.75,14670.25,14811.84961,463900
01-04-2021,14867.34961,14883.2002,14692.4502,14798.40039,445000
05-04-2021,14637.7998,14849.84961,14459.5,14837.7002,509700
06-04-2021,14683.5,14779.09961,14573.90039,14737,475300
07-04-2021,14819.0498,14879.7998,14649.84961,14716.4502,0
